Date,Open,High,Low,Close,Volume,Hold
2025-07-22 11:15:00,9385.0,9388.0,9384.0,9387.0,2736,485154
2025-07-22 11:20:00,9386.0,9389.0,9383.0,9387.0,2699,485101
2025-07-22 11:25:00,9386.0,9386.0,9372.0,9376.0,4197,484458
2025-07-22 11:30:00,9376.0,9379.0,9372.0,9375.0,2753,483847
2025-07-22 13:35:00,9368.0,9385.0,9365.0,9381.0,11258,483155
2025-07-22 13:40:00,9380.0,9386.0,9369.0,9369.0,8289,482549
2025-07-22 13:45:00,9370.0,9371.0,9354.0,9357.0,10396,480999
2025-07-22 13:50:00,9358.0,9364.0,9352.0,9359.0,9904,480427
2025-07-22 13:55:00,9359.0,9365.0,9354.0,9365.0,6213,479862
2025-07-22 14:00:00,9363.0,9368.0,9362.0,9367.0,4207,479983
2025-07-22 14:05:00,9367.0,9369.0,9361.0,9369.0,4376,479569
2025-07-22 14:10:00,9369.0,9369.0,9359.0,9362.0,3655,479332
2025-07-22 14:15:00,9361.0,9374.0,9361.0,9373.0,6150,479125
2025-07-22 14:20:00,9373.0,9381.0,9372.0,9378.0,6333,479333
2025-07-22 14:25:00,9379.0,9385.0,9378.0,9383.0,5147,479010
2025-07-22 14:30:00,9382.0,9389.0,9381.0,9381.0,6726,479278
2025-07-22 14:35:00,9382.0,9400.0,9380.0,9399.0,8364,478829
2025-07-22 14:40:00,9400.0,9406.0,9393.0,9403.0,11662,478963
2025-07-22 14:45:00,9402.0,9407.0,9393.0,9396.0,7887,477994
2025-07-22 14:50:00,9396.0,9405.0,9395.0,9400.0,459,478196
2025-07-22 14:55:00,9400.0,9401.0,9397.0,9397.0,4655,477551
2025-07-22 15:00:00,9397.0,9398.0,9393.0,9393.0,117,476010
2025-07-22 21:05:00,9444.0,9491.0,9442.0,9487.0,48698,480779
2025-07-22 21:10:00,9488.0,9520.0,9487.0,9509.0,39036,486021
2025-07-22 21:15:00,9510.0,9520.0,9475.0,9484.0,38321,484517
2025-07-22 21:20:00,9484.0,9491.0,9473.0,9477.0,20991,485064
2025-07-22 21:25:00,9477.0,9487.0,9476.0,9477.0,12412,485216
2025-07-22 21:30:00,9477.0,9504.0,9473.0,9494.0,18440,486280
2025-07-22 21:35:00,9495.0,9495.0,9459.0,9461.0,30169,487360
2025-07-22 21:40:00,9461.0,9468.0,9446.0,9461.0,24108,487840
2025-07-22 21:45:00,9462.0,9465.0,9450.0,9455.0,12632,489001
2025-07-22 21:50:00,9456.0,9472.0,9454.0,9464.0,10949,488763
2025-07-22 21:55:00,9463.0,9470.0,9425.0,9427.0,23428,487849
2025-07-22 22:00:00,9427.0,9430.0,9397.0,9414.0,43059,487085
2025-07-22 22:05:00,9413.0,9416.0,9393.0,9409.0,30989,486621
2025-07-22 22:10:00,9409.0,9415.0,9398.0,9398.0,22280,486325
2025-07-22 22:15:00,9396.0,9421.0,9391.0,9418.0,20154,484808
2025-07-22 22:20:00,9418.0,9425.0,9412.0,9424.0,13224,484638
2025-07-22 22:25:00,9424.0,9435.0,9423.0,9430.0,3119,484351
2025-07-22 22:30:00,9430.0,9436.0,9423.0,9429.0,10410,483812
2025-07-22 22:35:00,9430.0,9444.0,9428.0,9436.0,11206,483928
2025-07-22 22:40:00,9436.0,9450.0,9436.0,9441.0,9374,484761
2025-07-22 22:45:00,9441.0,9458.0,9441.0,9455.0,10267,484982
2025-07-22 22:50:00,9455.0,9459.0,9443.0,9450.0,11430,484787
2025-07-22 22:55:00,9450.0,9460.0,9450.0,9454.0,8280,485368
2025-07-22 23:00:00,9453.0,9464.0,9451.0,9457.0,9404,485531
2025-07-22 23:05:00,9457.0,9473.0,9451.0,9471.0,17944,486823
2025-07-22 23:10:00,9472.0,9478.0,9462.0,9462.0,13347,487903
2025-07-22 23:15:00,9462.0,9466.0,9456.0,9465.0,9911,488526
2025-07-22 23:20:00,9465.0,9470.0,9458.0,9460.0,8729,488543
2025-07-22 23:25:00,9461.0,9474.0,9460.0,9473.0,8163,488876
2025-07-22 23:30:00,9473.0,9473.0,9467.0,9469.0,3869,488893
2025-07-22 23:35:00,9468.0,9475.0,9467.0,9467.0,5453,488958
2025-07-22 23:40:00,9468.0,9473.0,9467.0,9471.0,3632,489091
2025-07-22 23:45:00,9471.0,9474.0,9466.0,9470.0,4179,489056
2025-07-22 23:50:00,9470.0,9472.0,9467.0,9467.0,1959,488686
2025-07-22 23:55:00,9467.0,9471.0,9462.0,9467.0,3554,488328
2025-07-23 00:00:00,9467.0,9477.0,9466.0,9474.0,5628,488101
2025-07-23 00:05:00,9475.0,9477.0,9469.0,9470.0,3783,488478
